File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\events\tracking\test\TestPopulationEvent.java,43,32,25,4,11,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\AbstractEAOptimizer.java,142,107,79,14,33,0,2,11,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\AbstractLearner.java,75,55,41,5,20,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\LearnerRegistry.java,25,17,12,0,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\AbstractActiveLearner.java,146,118,92,10,27,0,1,14,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\avrh\AVRH.java,123,99,68,8,24,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\avrh\AVRH2.java,121,97,66,8,24,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\avrh\AVRH3.java,120,96,66,8,24,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\avrh\AVRH4.java,119,96,66,8,23,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\avrh\SVRH.java,136,105,80,7,26,0,5,33,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\bl\BL.java,124,100,69,9,24,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\bl\BL2.java,116,94,64,8,22,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\bl\SBL.java,53,39,27,3,13,0,1,13,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\blvrh\BLVRH.java,147,121,87,10,26,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\blvrh\BLVRH2.java,149,122,88,10,27,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\blvrh\BLVRH3.java,145,119,86,10,26,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\active\blvrh\BLVRH4.java,145,119,86,10,26,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\AbstractModelAlgorithm.java,73,53,43,7,20,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\AbstractTestAlgorithm.java,80,60,48,8,20,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\ExplorationPhaseAlgorithm.java,115,94,73,8,18,0,3,22,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\RandomCandidateTest.java,58,45,34,2,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\WTestAlgorithm.java,105,86,66,9,17,0,2,12,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\model\EstimationPhaseAlgorithm.java,97,80,62,7,17,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\model\EstimationPhaseAlgorithm2.java,105,86,66,9,18,0,1,2,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\core\learner\algorithm\model\VRHModelAlgorithm.java,93,74,57,7,17,0,2,12,0,0
